test_id,algorithm,expected,actual,verification,ddl_duration,dml_ops,dml_errors,details
CD-VAR-85U3-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0266,667,4,"{""test_id"": ""CD-VAR-85U3-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0266, ""dml_ops"": 667, ""dml_errors"": 4, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 20, ""t2_count"": 20, ""count_match"": true}"
CD-VAR-63U4-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.028,645,3,"{""test_id"": ""CD-VAR-63U4-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.028, ""dml_ops"": 645, ""dml_errors"": 3, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 25, ""t2_count"": 25, ""count_match"": true}"
CD-VAR-63U4-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0475,633,2,"{""test_id"": ""CD-VAR-63U4-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0475, ""dml_ops"": 633, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 19, ""t2_count"": 19, ""count_match"": true}"
CD-VAR-100U4-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0277,444,3,"{""test_id"": ""CD-VAR-100U4-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0277, ""dml_ops"": 444, ""dml_errors"": 3, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 46, ""t2_count"": 46, ""count_match"": true}"
CD-VAR-100U4-INSTANT,INSTANT,SUCCESS,SUCCESS,PASS,0.0233,557,5,"{""test_id"": ""CD-VAR-100U4-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0233, ""dml_ops"": 557, ""dml_errors"": 5, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 24, ""t2_count"": 24, ""count_match"": true}"
CD-BIN-10-INPLACE,INPLACE,SUCCESS,SUCCESS,FAIL,0.0298,597,2,"{""test_id"": ""CD-BIN-10-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0298, ""dml_ops"": 597, ""dml_errors"": 2, ""verification"": ""FAIL"", ""mismatches"": [""t2_extra: id=2"", ""t2_extra: id=100000"", ""t2_extra: id=100004"", ""data_mismatch: id=15""], ""ddl_expected_match"": true, ""t1_count"": 26, ""t2_count"": 29, ""count_match"": false}"
CD-BIN-10-INSTANT,INSTANT,FAIL,SUCCESS,DDL_UNEXPECTED,0.0248,604,2,"{""test_id"": ""CD-BIN-10-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""FAIL"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0248, ""dml_ops"": 604, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t1_extra: id=100029"", ""t2_extra: id=100003"", ""t2_extra: id=100005"", ""t2_extra: id=100012"", ""t2_extra: id=100014"", ""data_mismatch: id=100007""], ""ddl_expected_match"": false, ""t1_count"": 24, ""t2_count"": 28, ""count_match"": false}"
CD-BIN-40-INPLACE,INPLACE,SUCCESS,SUCCESS,FAIL,0.0335,602,0,"{""test_id"": ""CD-BIN-40-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0335, ""dml_ops"": 602, ""dml_errors"": 0, ""verification"": ""FAIL"", ""mismatches"": [""t2_extra: id=10"", ""data_mismatch: id=100007""], ""ddl_expected_match"": true, ""t1_count"": 19, ""t2_count"": 18, ""count_match"": false}"
CD-BIN-40-INSTANT,INSTANT,FAIL,SUCCESS,DDL_UNEXPECTED,0.0356,475,3,"{""test_id"": ""CD-BIN-40-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""FAIL"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0356, ""dml_ops"": 475, ""dml_errors"": 3, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t2_extra: id=15"", ""t2_extra: id=17""], ""ddl_expected_match"": false, ""t1_count"": 21, ""t2_count"": 23, ""count_match"": false}"
CD-VBIN-20-INPLACE,INPLACE,SUCCESS,SUCCESS,FAIL,0.0244,589,1,"{""test_id"": ""CD-VBIN-20-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0244, ""dml_ops"": 589, ""dml_errors"": 1, ""verification"": ""FAIL"", ""mismatches"": [""t2_extra: id=5""], ""ddl_expected_match"": true, ""t1_count"": 16, ""t2_count"": 16, ""count_match"": true}"
